product_name_norm,representative_plu_code,representative_category,candidate_plu_count
23설프레시지)잔치안주홈술세트,1500000134884,간편식품,1
23추석YOZM)그릭요거트멀티세트,1500000150631,유제품,1
23추석YOZM)그릭요거트콩포트세트,1500000150624,유제품,1
23추석삼진)부산어묵1953세트(2호),8809029031826,간편식품,1
23추석삼진)이금복명품선물세트,8809029030966,간편식품,1
23추석상하농원)햄공방실속세트,8809488881000,간편식품,1
23추석오리온)닥터유드링크세트12팩,8801117353803,유제품,1
23추석존쿡)델리미트샤퀴테리세트,8809861811143,간편식품,1
23추석풍성)단백질닭가슴살세트,8809350313097,간편식품,1
23추석풍성)떡갈비&스테이크세트,8809350313080,간편식품,1
23추석풍성)행복담은수제햄(1호),8809350313066,간편식품,1
23추석풍성)행복담은수제햄(2호),8809350313073,간편식품,1
23추석프레시지)고기듬뿍세트,1500000150648,간편식품,1
23추석프레시지)왕만두한상차림,1500000150662,간편식품,1
23추석프레시지)푸짐한명절세트,1500000150655,간편식품,1
23프라다)사피아노카드지갑,8806379936887,생활잡화,1
23프라다)삼각로고카드지갑,8806379936894,생활잡화,1
24FW)따뜻한넥워머,8806379938966,생활잡화,1
24FW)따뜻한수면양말,8806379938973,생활잡화,1
24FW)따뜻한스마트폰터치장갑,8806379938942,생활잡화,1
24FW)따뜻한접이식왕귀마개,8806379938959,생활잡화,1
24FW)레그웜50D타이즈,8808906978957,생활잡화,1
24FW)레그웜80D타이즈,8808906978964,생활잡화,1
24FW)레그웜기모레깅스,8808906978988,생활잡화,1
24FW)레그웜기모타이즈,8808906978971,생활잡화,1
24FW)레그웜니삭스,8808906988734,생활잡화,1
24FW)멀티숄베이지,8808906988598,생활잡화,1
24FW)멀티숄블랙,8808906988604,생활잡화,1
24FW)밍크수면바지,8808906988611,생활잡화,1
24FW)바디웜패딩목도리,8808906988581,생활잡화,1
24FW)여성용울양말,8808906988741,생활잡화,1
24FW)오리솜털패딩조끼100,8808906991567,생활잡화,1
24FW)오리솜털패딩조끼105,8808906991574,생활잡화,1
